Batch ID,Scanner ID, Number of Ballots
Absentee Pct 6 - Batch 1,Central - District 1,50
Absentee Pct 6 - Batch 2,Central - District 1,50
Absentee Pct 6 - Batch 3,Central - District 1,50
Absentee Pct 6 - Batch 4,Central - District 1,50
Absentee Pct 6 - Batch 5,Central - District 1,50
Absentee Pct 6 - Batch 6,Central - District 1,50
Absentee Pct 6 - Batch 7,Central - District 1,50
Absentee Pct 6 - Batch 8,Central - District 1,50
Absentee Pct 6 - Batch 9,Central - District 1,50
Absentee Pct 6 - Batch 10,Central - District 1,50
Absentee Pct 6 - Batch 11,Central - District 1,50
Absentee Pct 6 - Batch 12,Central - District 1,47
Absentee Pct 6 - Batch 13,Central - District 1,41
Absentee Pct 6 - Batch 14,Central - District 1,2
Absentee Pct 6 - Batch 15,Central - District 1,2
Absentee Pct 8 - Batch 1,Central - District 1,50
Absentee Pct 8 - Batch 2,Central - District 1,50
Absentee Pct 8 - Batch 3,Central - District 1,50
Absentee Pct 8 - Batch 4,Central - District 1,50
Absentee Pct 8 - Batch 5,Central - District 1,52
Absentee Pct 8 - Batch 6,Central - District 1,28
Absentee Pct 8 - Batch 7,Central - District 1,2
Absentee Pct 14 - Batch 1,Central - District 1,50
Absentee Pct 14 - Batch 2,Central - District 1,50
Absentee Pct 14 - Batch 3,Central - District 1,50
Absentee Pct 14 - Batch 4,Central - District 1,50
Absentee Pct 14 - Batch 5,Central - District 1,50
Absentee Pct 14 - Batch 6,Central - District 1,50
Absentee Pct 14 - Batch 7,Central - District 1,50
Absentee Pct 14 - Batch 8,Central - District 1,50
Absentee Pct 14 - Batch 9,Central - District 1,50
Absentee Pct 14 - Batch 10,Central - District 1,50
Absentee Pct 14 - Batch 11,Central - District 1,60
Absentee Pct 14 - Batch 12,Central - District 1,54
Absentee Pct 14 - Batch 13,Central - District 1,7
Absentee Pct 14 - Batch 14,Central - District 1,1
Absentee Pct 17 - Batch 1,Central - District 1,50
Absentee Pct 17 - Batch 2,Central - District 1,50
Absentee Pct 17 - Batch 3,Central - District 1,50
Absentee Pct 17 - Batch 4,Central - District 1,50
Absentee Pct 17 - Batch 5,Central - District 1,50
Absentee Pct 17 - Batch 6,Central - District 1,50
Absentee Pct 17 - Batch 7,Central - District 1,50
Absentee Pct 17 - Batch 8,Central - District 1,50
Absentee Pct 17 - Batch 9,Central - District 1,50
Absentee Pct 17 - Batch 10,Central - District 1,50
Absentee Pct 17 - Batch 11,Central - District 1,47
Absentee Pct 17 - Batch 12,Central - District 1,31
Absentee Pct 17 - Batch 13,Central - District 1,1
Absentee Pct 17 - Batch 14,Central - District 1,1
Absentee Pct 22 - Batch 1,Central - District 1,50
Absentee Pct 22 - Batch 2,Central - District 1,50
Absentee Pct 22 - Batch 3,Central - District 1,50
Absentee Pct 22 - Batch 4,Central - District 1,50
Absentee Pct 22 - Batch 5,Central - District 1,50
Absentee Pct 22 - Batch 6,Central - District 1,50
Absentee Pct 22 - Batch 7,Central - District 1,50
Absentee Pct 22 - Batch 8,Central - District 1,16
Absentee Pct 22 - Batch 9,Central - District 1,26
Absentee Pct 23 - Batch 1,Central - District 1,50
Absentee Pct 23 - Batch 2,Central - District 1,50
Absentee Pct 23 - Batch 3,Central - District 1,50
Absentee Pct 23 - Batch 4,Central - District 1,50
Absentee Pct 23 - Batch 5,Central - District 1,49
Absentee Pct 23 - Batch 6,Central - District 1,15
Absentee Pct 23 - Batch 7,Central - District 1,3
Absentee Pct 23 - Batch 8,Central - District 1,2
Absentee Pct 26 - Batch 1,Central - District 1,50
Absentee Pct 26 - Batch 2,Central - District 1,50
Absentee Pct 26 - Batch 3,Central - District 1,50
Absentee Pct 26 - Batch 4,Central - District 1,50
Absentee Pct 26 - Batch 5,Central - District 1,50
Absentee Pct 26 - Batch 6,Central - District 1,50
Absentee Pct 26 - Batch 7,Central - District 1,50
Absentee Pct 26 - Batch 8,Central - District 1,50
Absentee Pct 26 - Batch 9,Central - District 1,50
Absentee Pct 26 - Batch 10,Central - District 1,50
Absentee Pct 26 - Batch 11,Central - District 1,50
Absentee Pct 26 - Batch 12,Central - District 1,50
Absentee Pct 26 - Batch 13,Central - District 1,47
Absentee Pct 26 - Batch 14,Central - District 1,49
Absentee Pct 26 - Batch 15,Central - District 1,1
Absentee Pct 26 - Batch 16,Central - District 1,5
Absentee Pct 29 - Batch 1,Central - District 1,50
Absentee Pct 29 - Batch 2,Central - District 1,50
Absentee Pct 29 - Batch 3,Central - District 1,50
Absentee Pct 29 - Batch 4,Central - District 1,50
Absentee Pct 29 - Batch 5,Central - District 1,32
Absentee Pct 29 - Batch 6,Central - District 1,18
Absentee Pct 29 - Batch 7,Central - District 1,3
Absentee Pct 4 - Batch 1,Central - District 2,30
Absentee Pct 4 - Batch 2,Central - District 2,100
Absentee Pct 4 - Batch 3,Central - District 2,50
Absentee Pct 4 - Batch 4,Central - District 2,50
Absentee Pct 4 - Batch 5,Central - District 2,50
Absentee Pct 4 - Batch 6,Central - District 2,50
Absentee Pct 4 - Batch 7,Central - District 2,24
Absentee Pct 4 - Batch 8,Central - District 2,3
Absentee Pct 4 - Batch 9,Central - District 2,2
Absentee Pct 7 - Batch 1,Central - District 2,50
Absentee Pct 7 - Batch 2,Central - District 2,50
Absentee Pct 7 - Batch 3,Central - District 2,50
Absentee Pct 7 - Batch 4,Central - District 2,50
Absentee Pct 7 - Batch 5,Central - District 2,51
Absentee Pct 7 - Batch 6,Central - District 2,11
Absentee Pct 7 - Batch 7,Central - District 2,3
Absentee Pct 9 - Batch 1,Central - District 2,50
Absentee Pct 9 - Batch 2,Central - District 2,50
Absentee Pct 9 - Batch 3,Central - District 2,50
Absentee Pct 9 - Batch 4,Central - District 2,50
Absentee Pct 9 - Batch 5,Central - District 2,50
Absentee Pct 9 - Batch 6,Central - District 2,50
Absentee Pct 9 - Batch 7,Central - District 2,50
Absentee Pct 9 - Batch 8,Central - District 2,50
Absentee Pct 9 - Batch 9,Central - District 2,50
Absentee Pct 9 - Batch 10,Central - District 2,50
Absentee Pct 9 - Batch 11,Central - District 2,50
Absentee Pct 9 - Batch 12,Central - District 2,50
Absentee Pct 9 - Batch 13,Central - District 2,12
Absentee Pct 9 - Batch 14,Central - District 2,33
Absentee Pct 9 - Batch 15,Central - District 2,6
Absentee Pct 9 - Batch 16,Central - District 2,2
Absentee Pct 10 - Batch 1,Central - District 2,50
Absentee Pct 10 - Batch 2,Central - District 2,50
Absentee Pct 10 - Batch 3,Central - District 2,50
Absentee Pct 10 - Batch 4,Central - District 2,50
Absentee Pct 10 - Batch 5,Central - District 2,50
Absentee Pct 10 - Batch 6,Central - District 2,50
Absentee Pct 10 - Batch 7,Central - District 2,16
Absentee Pct 10 - Batch 8,Central - District 2,25
Absentee Pct 10 - Batch 9,Central - District 2,1
Absentee Pct 10 - Batch 10,Central - District 2,4
Absentee Pct 18 - Batch 1,Central - District 2,50
Absentee Pct 18 - Batch 2,Central - District 2,50
Absentee Pct 18 - Batch 3,Central - District 2,50
Absentee Pct 18 - Batch 4,Central - District 2,50
Absentee Pct 18 - Batch 5,Central - District 2,50
Absentee Pct 18 - Batch 6,Central - District 2,50
Absentee Pct 18 - Batch 7,Central - District 2,50
Absentee Pct 18 - Batch 8,Central - District 2,50
Absentee Pct 18 - Batch 9,Central - District 2,50
Absentee Pct 18 - Batch 10,Central - District 2,26
Absentee Pct 18 - Batch 11,Central - District 2,31
Absentee Pct 18 - Batch 12,Central - District 2,3
Absentee Pct 18 - Batch 13,Central - District 2,1
Absentee Pct 19 - Batch 1,Central - District 2,50
Absentee Pct 19 - Batch 2,Central - District 2,50
Absentee Pct 19 - Batch 3,Central - District 2,50
Absentee Pct 19 - Batch 4,Central - District 2,50
Absentee Pct 19 - Batch 5,Central - District 2,50
Absentee Pct 19 - Batch 6,Central - District 2,50
Absentee Pct 19 - Batch 7,Central - District 2,50
Absentee Pct 19 - Batch 8,Central - District 2,29
Absentee Pct 19 - Batch 9,Central - District 2,23
Absentee Pct 19 - Batch 10,Central - District 2,7
Absentee Pct 19 - Batch 11,Central - District 2,3
Absentee Pct 21 - Batch 1,Central - District 2,50
Absentee Pct 21 - Batch 2,Central - District 2,50
Absentee Pct 21 - Batch 3,Central - District 2,50
Absentee Pct 21 - Batch 4,Central - District 2,50
Absentee Pct 21 - Batch 5,Central - District 2,50
Absentee Pct 21 - Batch 6,Central - District 2,50
Absentee Pct 21 - Batch 7,Central - District 2,36
Absentee Pct 21 - Batch 8,Central - District 2,29
Absentee Pct 21 - Batch 9,Central - District 2,3
Absentee Pct 21 - Batch 10,Central - District 2,5
Absentee Pct 25 - Batch 1,Central - District 2,50
Absentee Pct 25 - Batch 2,Central - District 2,50
Absentee Pct 25 - Batch 3,Central - District 2,50
Absentee Pct 25 - Batch 4,Central - District 2,50
Absentee Pct 25 - Batch 5,Central - District 2,50
Absentee Pct 25 - Batch 6,Central - District 2,50
Absentee Pct 25 - Batch 7,Central - District 2,50
Absentee Pct 25 - Batch 8,Central - District 2,50
Absentee Pct 25 - Batch 9,Central - District 2,50
Absentee Pct 25 - Batch 10,Central - District 2,50
Absentee Pct 25 - Batch 11,Central - District 2,50
Absentee Pct 25 - Batch 12,Central - District 2,38
Absentee Pct 25 - Batch 13,Central - District 2,4
Absentee Pct 25 - Batch 14,Central - District 2,1
Absentee Pct 32 - Batch 1,Central - District 2,50
Absentee Pct 32 - Batch 2,Central - District 2,50
Absentee Pct 32 - Batch 3,Central - District 2,50
Absentee Pct 32 - Batch 4,Central - District 2,50
Absentee Pct 32 - Batch 5,Central - District 2,50
Absentee Pct 32 - Batch 6,Central - District 2,50
Absentee Pct 32 - Batch 7,Central - District 2,50
Absentee Pct 32 - Batch 8,Central - District 2,50
Absentee Pct 32 - Batch 9,Central - District 2,3
Absentee Pct 32 - Batch 10,Central - District 2,50
Absentee Pct 32 - Batch 11,Central - District 2,26
Absentee Pct 32 - Batch 12,Central - District 2,3
Absentee Pct 32 - Batch 13,Central - District 2,3
Absentee Pct 1 - Batch 1,Central - District 3,27
Absentee Pct 1 - Batch 2,Central - District 3,50
Absentee Pct 1 - Batch 3,Central - District 3,50
Absentee Pct 1 - Batch 4,Central - District 3,50
Absentee Pct 1 - Batch 5,Central - District 3,50
Absentee Pct 1 - Batch 6,Central - District 3,50
Absentee Pct 1 - Batch 7,Central - District 3,50
Absentee Pct 1 - Batch 8,Central - District 3,50
Absentee Pct 1 - Batch 9,Central - District 3,50
Absentee Pct 1 - Batch 10,Central - District 3,50
Absentee Pct 1 - Batch 11,Central - District 3,33
Absentee Pct 1 - Batch 12,Central - District 3,4
Absentee Pct 1 - Batch 13,Central - District 3,1
Absentee Pct 2 - Batch 1,Central - District 3,50
Absentee Pct 2 - Batch 2,Central - District 3,50
Absentee Pct 2 - Batch 3,Central - District 3,50
Absentee Pct 2 - Batch 4,Central - District 3,22
Absentee Pct 2 - Batch 6,Central - District 3,20
Absentee Pct 2 - Batch 7,Central - District 3,1
Absentee Pct 3 - Batch 1,Central - District 3,50
Absentee Pct 3 - Batch 2,Central - District 3,50
Absentee Pct 3 - Batch 3,Central - District 3,50
Absentee Pct 3 - Batch 4,Central - District 3,50
Absentee Pct 3 - Batch 5,Central - District 3,7
Absentee Pct 3 - Batch 6,Central - District 3,17
Absentee Pct 3 - Batch 7,Central - District 3,1
Absentee Pct 12 - Batch 1,Central - District 3,50
Absentee Pct 12 - Batch 2,Central - District 3,50
Absentee Pct 12 - Batch 3,Central - District 3,50
Absentee Pct 12 - Batch 4,Central - District 3,50
Absentee Pct 12 - Batch 5,Central - District 3,50
Absentee Pct 12 - Batch 6,Central - District 3,50
Absentee Pct 12 - Batch 7,Central - District 3,50
Absentee Pct 12 - Batch 8,Central - District 3,50
Absentee Pct 12 - Batch 9,Central - District 3,50
Absentee Pct 12 - Batch 10,Central - District 3,32
Absentee Pct 12 - Batch 11,Central - District 3,40
Absentee Pct 12 - Batch 12,Central - District 3,5
Absentee Pct 13 - Batch 1,Central - District 3,50
Absentee Pct 13 - Batch 2,Central - District 3,50
Absentee Pct 13 - Batch 3,Central - District 3,50
Absentee Pct 13 - Batch 4,Central - District 3,50
Absentee Pct 13 - Batch 5,Central - District 3,50
Absentee Pct 13 - Batch 6,Central - District 3,9
Absentee Pct 13 - Batch 7,Central - District 3,11
Absentee Pct 13 - Batch 8,Central - District 3,2
Absentee Pct 16 - Batch 1,Central - District 3,50
Absentee Pct 16 - Batch 2,Central - District 3,50
Absentee Pct 16 - Batch 3,Central - District 3,50
Absentee Pct 16 - Batch 4,Central - District 3,50
Absentee Pct 16 - Batch 5,Central - District 3,50
Absentee Pct 16 - Batch 6,Central - District 3,50
Absentee Pct 16 - Batch 7,Central - District 3,50
Absentee Pct 16 - Batch 8,Central - District 3,44
Absentee Pct 16 - Batch 9,Central - District 3,31
Absentee Pct 16 - Batch 10,Central - District 3,4
Absentee Pct 16 - Batch 11,Central - District 3,2
Absentee Pct 24 - Batch 1,Central - District 3,50
Absentee Pct 24 - Batch 2,Central - District 3,50
Absentee Pct 24 - Batch 3,Central - District 3,50
Absentee Pct 24 - Batch 4,Central - District 3,50
Absentee Pct 24 - Batch 5,Central - District 3,50
Absentee Pct 24 - Batch 6,Central - District 3,50
Absentee Pct 24 - Batch 7,Central - District 3,50
Absentee Pct 24 - Batch 8,Central - District 3,50
Absentee Pct 24 - Batch 9,Central - District 3,50
Absentee Pct 24 - Batch 10,Central - District 3,42
Absentee Pct 24 - Batch 11,Central - District 3,33
Absentee Pct 24 - Batch 12,Central - District 3,5
Absentee Pct 24 - Batch 13,Central - District 3,2
Absentee Pct 31 - Batch 1,Central - District 3,50
Absentee Pct 31 - Batch 2,Central - District 3,50
Absentee Pct 31 - Batch 3,Central - District 3,50
Absentee Pct 31 - Batch 4,Central - District 3,50
Absentee Pct 31 - Batch 5,Central - District 3,13
Absentee Pct 31 - Batch 6,Central - District 3,25
Absentee Pct 31 - Batch 7,Central - District 3,1
Absentee Pct 31 - Batch 8,Central - District 3,3
Absentee Pct 5 - Batch 1,Central - District 4,50
Absentee Pct 5 - Batch 2,Central - District 4,50
Absentee Pct 5 - Batch 3,Central - District 4,50
Absentee Pct 5 - Batch 4,Central - District 4,50
Absentee Pct 5 - Batch 5,Central - District 4,50
Absentee Pct 5 - Batch 6,Central - District 4,50
Absentee Pct 5 - Batch 7,Central - District 4,54
Absentee Pct 5 - Batch 8,Central - District 4,27
Absentee Pct 5 - Batch 9,Central - District 4,7
Absentee Pct 5 - Batch 10,Central - District 4,2
Absentee Pct 11 - Batch 1,Central - District 4,50
Absentee Pct 11 - Batch 2,Central - District 4,50
Absentee Pct 11 - Batch 3,Central - District 4,50
Absentee Pct 11 - Batch 4,Central - District 4,41
Absentee Pct 11 - Batch 5,Central - District 4,11
Absentee Pct 11 - Batch 6,Central - District 4,4
Absentee Pct 11 - Batch 7,Central - District 4,1
Absentee Pct 15 - Batch 1,Central - District 4,50
Absentee Pct 15 - Batch 2,Central - District 4,50
Absentee Pct 15 - Batch 3,Central - District 4,50
Absentee Pct 15 - Batch 4,Central - District 4,52
Absentee Pct 15 - Batch 5,Central - District 4,22
Absentee Pct 20 - Batch 1,Central - District 4,50
Absentee Pct 20 - Batch 2,Central - District 4,50
Absentee Pct 20 - Batch 3,Central - District 4,50
Absentee Pct 20 - Batch 4,Central - District 4,50
Absentee Pct 20 - Batch 5,Central - District 4,50
Absentee Pct 20 - Batch 6,Central - District 4,28
Absentee Pct 20 - Batch 7,Central - District 4,23
Absentee Pct 20 - Batch 8,Central - District 4,1
Absentee Pct 27 - Batch 1,Central - District 4,50
Absentee Pct 27 - Batch 2,Central - District 4,50
Absentee Pct 27 - Batch 3,Central - District 4,50
Absentee Pct 27 - Batch 4,Central - District 4,50
Absentee Pct 27 - Batch 5,Central - District 4,50
Absentee Pct 27 - Batch 6,Central - District 4,50
Absentee Pct 27 - Batch 7,Central - District 4,50
Absentee Pct 27 - Batch 8,Central - District 4,3
Absentee Pct 27 - Batch 9,Central - District 4,31
Absentee Pct 27 - Batch 10,Central - District 4,4
Absentee Pct 28 - Batch 1,Central - District 4,50
Absentee Pct 28 - Batch 2,Central - District 4,50
Absentee Pct 28 - Batch 3,Central - District 4,50
Absentee Pct 28 - Batch 4,Central - District 4,50
Absentee Pct 28 - Batch 5,Central - District 4,52
Absentee Pct 28 - Batch 6,Central - District 4,17
Absentee Pct 28 - Batch 7,Central - District 4,7
Absentee Pct 30 - Batch 1,Central - District 4,50
Absentee Pct 30 - Batch 2,Central - District 4,50
Absentee Pct 30 - Batch 3,Central - District 4,50
Absentee Pct 30 - Batch 4,Central - District 4,50
Absentee Pct 30 - Batch 5,Central - District 4,50
Absentee Pct 30 - Batch 6,Central - District 4,50
Absentee Pct 30 - Batch 7,Central - District 4,50
Absentee Pct 30 - Batch 8,Central - District 4,50
Absentee Pct 30 - Batch 9,Central - District 4,47
Absentee Pct 30 - Batch 10,Central - District 4,51
Absentee Pct 30 - Batch 11,Central - District 4,2
Absentee Pct 30 - Batch 12,Central - District 4,2
